# ci-compiler-artifacts-schema	1
schema	record_id	gate	host	role	producer	target	cfg	opt_level	profile	source_set	output_kind	reuse_group	trace	decision	owner	notes
1	bootstrap-stage1	bootstrap fixpoint	all	produce	seed	host	compiler-build-identity+seed-compat	2	none	current-tree+embedded-inputs	compiler-binary	none	ledger-only	fixpoint-generation	check-bootstrap-fixpoint	A distinct first self-host generation; seed compatibility cfg is part of the assertion.
1	bootstrap-stage1-image	bootstrap fixpoint	all	produce	stage1	host	compiler-surface-producer	default	none	current-tree-stdlib	embedded-image	none	ledger-only	fixpoint-generation	check-bootstrap-fixpoint	The stage1 image is input to stage2 and has a different producer identity from later images.
1	bootstrap-stage2	bootstrap fixpoint	all	produce	stage1	host	compiler-build-identity+embedded-stdlib-tlci	2	none	current-tree+stage1-image	compiler-binary	none	ledger-only	fixpoint-generation	check-bootstrap-fixpoint	Must remain distinct from every other bootstrap generation.
1	bootstrap-stage2-image	bootstrap fixpoint	all	produce	stage2	host	compiler-surface-producer	default	none	current-tree-stdlib	embedded-image	none	ledger-only	fixpoint-generation	check-bootstrap-fixpoint	Producer identity differs from the stage1 image.
1	bootstrap-stage3	bootstrap fixpoint	all	produce	stage2	host	compiler-build-identity+embedded-stdlib-tlci	2	none	current-tree+stage2-image	compiler-binary	none	ledger-only	fixpoint-generation	check-bootstrap-fixpoint	Compared byte-for-byte with stage2 and retained as the early converged compiler.
1	bootstrap-stage3-image	bootstrap fixpoint	all	produce	stage3	host	compiler-surface-producer	default	none	current-tree-stdlib	embedded-image	none	ledger-only	conditional-fixpoint-generation	check-bootstrap-fixpoint	Built only when the stage4 fallback is required.
1	bootstrap-stage4	bootstrap fixpoint	all	produce	stage3	host	compiler-build-identity+embedded-stdlib-tlci	2	none	current-tree+stage3-image	compiler-binary	none	ledger-only	conditional-fixpoint-generation	check-bootstrap-fixpoint	A differing generation is the fallback fixpoint assertion, never a reuse candidate.
1	bootstrap-embedded-parity	bootstrap fixpoint	all	produce	stage2	host	compiler-build-identity+embedded-stdlib-tlci	2	none	current-tree+embedded-only-root	compiler-assembly	none	ledger-only	independent-proof	check-bootstrap-fixpoint	The changed cwd/root provenance is the assertion even when bytes equal stage3 assembly.
1	bootstrap-converged	bootstrap fixpoint	all	produce	seed	host	compiler-build-identity+embedded-stdlib-tlci+host-defaults	2	none	current-tree+bootstrap-scripts	compiler-binary	bootstrap-converged	required	handoff-producer	ci-verify	The stage3 or conditional stage4 selected by the fixpoint proof.
1	bootstrap-downstream	stage2 selfhost compile manifest	all	consume	seed	host	compiler-build-identity+embedded-stdlib-tlci+host-defaults	2	none	current-tree+bootstrap-scripts	compiler-binary	bootstrap-converged	required	handoff-consumer	ci-verify	One validated path feeds every later stage2 gate; no downstream gate rebuilds this default compiler.
1	scratch-stage1	scratch-vreg + TLCI mutation bootstrap fixpoint	all	produce	bootstrap-converged	host	scratch-vreg+tlci-mutation+compiler-build-identity	2	none	mutated-copy	compiler-binary	none	ledger-only	fixpoint-generation	check-bootstrap-fixpoint	Cfg and mutated source root deliberately differ from the normal bootstrap.
1	scratch-stage1-image	scratch-vreg + TLCI mutation bootstrap fixpoint	all	produce	scratch-stage1	host	compiler-surface-producer	default	none	mutated-copy-stdlib	embedded-image	none	ledger-only	mutation-proof	check-bootstrap-fixpoint	Carries the stage1 mutation route witness.
1	scratch-stage2	scratch-vreg + TLCI mutation bootstrap fixpoint	all	produce	scratch-stage1	host	scratch-vreg+tlci-mutation+compiler-build-identity+embedded-stdlib-tlci	2	none	mutated-copy+stage1-image	compiler-binary	none	ledger-only	fixpoint-generation	check-bootstrap-fixpoint	Independent configured generation.
1	scratch-stage2-image	scratch-vreg + TLCI mutation bootstrap fixpoint	all	produce	scratch-stage2	host	compiler-surface-producer	default	none	mutated-copy-stdlib	embedded-image	none	ledger-only	mutation-proof	check-bootstrap-fixpoint	Carries the stage2 native mutation route witness.
1	scratch-stage3	scratch-vreg + TLCI mutation bootstrap fixpoint	all	produce	scratch-stage2	host	scratch-vreg+tlci-mutation+compiler-build-identity+embedded-stdlib-tlci	2	none	mutated-copy+stage2-image	compiler-binary	none	ledger-only	fixpoint-generation	check-bootstrap-fixpoint	Required configured fixpoint comparison.
1	scratch-stage3-image	scratch-vreg + TLCI mutation bootstrap fixpoint	all	produce	scratch-stage3	host	compiler-surface-producer	default	none	mutated-copy-stdlib	embedded-image	none	ledger-only	conditional-fixpoint-generation	check-bootstrap-fixpoint	Built only for the configured stage4 fallback.
1	scratch-stage4	scratch-vreg + TLCI mutation bootstrap fixpoint	all	produce	scratch-stage3	host	scratch-vreg+tlci-mutation+compiler-build-identity+embedded-stdlib-tlci	2	none	mutated-copy+stage3-image	compiler-binary	none	ledger-only	conditional-fixpoint-generation	check-bootstrap-fixpoint	Must remain distinct when fallback is exercised.
1	scratch-embedded-parity	scratch-vreg + TLCI mutation bootstrap fixpoint	all	produce	scratch-stage2	host	scratch-vreg+tlci-mutation+compiler-build-identity+embedded-stdlib-tlci	2	none	mutated-copy+embedded-only-root	compiler-assembly	none	ledger-only	independent-proof	check-bootstrap-fixpoint	Changed cwd/root and mutation route are the assertion.
1	manifest-assembly-set	stage2 selfhost compile manifest	all	produce	bootstrap-converged	host	selfhost-compile-manifest	default	none	compile-manifest-tree	assembly-set-manifest	manifest-assembly-set	required	handoff-producer	ci-verify	All emitted assemblies are hashed into one validated same-run bundle.
1	manifest-deterministic-consumer	stage2 deterministic assembly	all	consume	bootstrap-converged	host	selfhost-compile-manifest	default	none	compile-manifest-tree	assembly-set-manifest	manifest-assembly-set	required	handoff-consumer	ci-verify	Run1 reuse is checked before the deterministic gate; run2 remains independent.
1	regalloc-census-cli	stage2 regalloc census compiler build	all	produce	bootstrap-converged	host	regalloc-census	default	none	current-tree	compiler-assembly	none	ledger-only	independent-proof	verify-regalloc-census	Cfg-only emitted census markers are the assertion.
1	embedded-tlci-determinism-a	embedded stdlib tlci image	all	produce	bootstrap-converged	host	compiler-surface-producer	default	none	current-tree-stdlib	embedded-image	none	ledger-only	independent-proof	verify-embedded-stdlib-tlci	First half of the required clean deterministic rebuild comparison.
1	embedded-tlci-determinism-b	embedded stdlib tlci image	all	produce	bootstrap-converged	host	compiler-surface-producer	default	none	current-tree-stdlib	embedded-image	none	ledger-only	independent-proof	verify-embedded-stdlib-tlci	Exact repeated key retained intentionally to prove deterministic rebuilding.
1	embedded-tlci-full-blocker	embedded stdlib tlci image	all	produce	bootstrap-converged	host	compiler-surface-producer	default	none	full-blocker-manifest	embedded-image	none	ledger-only	independent-proof	verify-embedded-stdlib-tlci	Different manifest is a diagnostic invariance proof.
1	embedded-tlci-identity-manifest	embedded stdlib tlci image	all	produce	bootstrap-converged	host	compiler-surface-producer	default	none	identity-manifest	embedded-image	none	ledger-only	independent-proof	verify-embedded-stdlib-tlci	Different manifest pins catalog identity coverage.
1	embedded-tlci-mutated-root	embedded stdlib tlci image	all	produce	bootstrap-converged	host	compiler-surface-producer	default	none	mutated-stdlib-root	embedded-image	none	ledger-only	mutation-proof	verify-embedded-stdlib-tlci	Output must differ after a source mutation.
1	embedded-tlci-canonical	embedded stdlib tlci image	all	produce	bootstrap-converged	host	compiler-surface-producer+host-defaults	default	none	current-tree-stdlib	embedded-image-set-manifest	embedded-stdlib-tlci-canonical	required	handoff-producer	ci-verify	Canonical image, envelope, manifest, surface, and source hash are bundled after deterministic verification.
1	embedded-tlci-profile-consumer	stage2 compile-profile verifier	all	consume	bootstrap-converged	host	compiler-surface-producer+host-defaults	default	none	current-tree-stdlib	embedded-image-set-manifest	embedded-stdlib-tlci-canonical	required	handoff-consumer	ci-verify	Removes one exact image rebuild; standalone verify-compile-profile retains its build fallback.
1	cli-root-package-stage2	stage2 cli build/run and chooser smoke	all	produce	bootstrap-converged	host	package-defaults	0	release	current-root-package	compiler-binary	none	ledger-only	independent-proof	verify-selfhost-cli-build-run	Root package identity stamping and package build/run are the assertion.
1	build-invariance-opt1-compiler	stage2 opt1/opt2 build-invariance	linux	produce	bootstrap-converged	linux-x86_64	host-defaults	1	none	current-tree	compiler-binary	none	ledger-only	comparison-generation	check-build-invariance	Genuinely opt1-built comparison compiler; cannot reuse the opt2 bootstrap.
1	build-invariance-opt1-reference	stage2 opt1/opt2 build-invariance	linux	produce	bootstrap-converged	linux-x86_64	host-defaults	1	none	current-tree+native-manifest	compiler-assembly	build-invariance-opt1	required	handoff-producer	ci-verify	Validated opt2-built compiler output at opt1.
1	opt2-reference-consumer	stage2 opt2-built CLI compile + cross-fixpoint regression	linux	consume	bootstrap-converged	linux-x86_64	host-defaults	1	none	current-tree+native-manifest	compiler-assembly	build-invariance-opt1	required	handoff-consumer	ci-verify	Windows intentionally retains its standalone reference compile.
1	opt2-release-package	stage2 opt2-built CLI compile + cross-fixpoint regression	all	produce	bootstrap-converged	host	package-release	2	release	current-root-package	compiler-binary	none	ledger-only	independent-proof	check-opt2-cli-regression	Root release package construction is not bootstrap coverage.
1	opt2-generated-selfcompile	stage2 opt2-built CLI compile + cross-fixpoint regression	all	produce	opt2-release-package	host	host-defaults	2	none	current-tree	compiler-assembly	none	ledger-only	independent-proof	check-opt2-cli-regression	Crash/non-empty proof uses the generated compiler identity.
1	opt2-generated-cross	stage2 opt2-built CLI compile + cross-fixpoint regression	all	produce	opt2-release-package	host	host-defaults	1	none	current-tree	compiler-assembly	none	ledger-only	independent-proof	check-opt2-cli-regression	Different producer identity from the reference is the cross-fixpoint assertion.
1	compile-profile-cli	stage2 compile-profile verifier	all	produce	bootstrap-converged	host	compile-profile+embedded-stdlib-tlci+tlci-native-route-stress+dependency-tlci-verification+compiler-build-identity+host-defaults	default	compile-profile	current-tree+canonical-image	compiler-binary	compile-profile-cli	required	handoff-producer	ci-verify	One profile compiler is used by all route/catalog consumers.
1	compile-profile-stress	TLCI native route sustained stress	all	consume	bootstrap-converged	host	compile-profile+embedded-stdlib-tlci+tlci-native-route-stress+dependency-tlci-verification+compiler-build-identity+host-defaults	default	compile-profile	current-tree+canonical-image	compiler-binary	compile-profile-cli	required	handoff-consumer	ci-verify	Same validated profile compiler.
1	compile-profile-metadata	package metadata-only TLCI dependency catalogs	all	consume	bootstrap-converged	host	compile-profile+embedded-stdlib-tlci+tlci-native-route-stress+dependency-tlci-verification+compiler-build-identity+host-defaults	default	compile-profile	current-tree+canonical-image	compiler-binary	compile-profile-cli	required	handoff-consumer	ci-verify	Same validated profile compiler.
1	compile-profile-native-package	package native TLCI dependency macros	all	consume	bootstrap-converged	host	compile-profile+embedded-stdlib-tlci+tlci-native-route-stress+dependency-tlci-verification+compiler-build-identity+host-defaults	default	compile-profile	current-tree+canonical-image	compiler-binary	compile-profile-cli	required	handoff-consumer	ci-verify	Same validated profile compiler.
1	compile-profile-surface-package	package dependency TLCI frontend surfaces	all	consume	bootstrap-converged	host	compile-profile+embedded-stdlib-tlci+tlci-native-route-stress+dependency-tlci-verification+compiler-build-identity+host-defaults	default	compile-profile	current-tree+canonical-image	compiler-binary	compile-profile-cli	required	handoff-consumer	ci-verify	Same validated profile compiler.
1	compile-profile-source-mismatch	stage2 compile-profile verifier	all	produce	bootstrap-converged	host	compile-profile+embedded-stdlib-tlci+host-defaults	default	compile-profile	mismatched-source-hash	compiler-binary	none	ledger-only	negative-provenance-proof	verify-compile-profile	Must not reuse the canonical compiler because the embedded source identity is deliberately wrong.
1	compile-profile-producer-mismatch	stage2 compile-profile verifier	all	produce	bootstrap-converged	host	compile-profile+embedded-stdlib-tlci+host-defaults	default	compile-profile	mismatched-producer-identity	compiler-binary	none	ledger-only	negative-provenance-proof	verify-compile-profile	Must not reuse the canonical compiler because producer provenance is deliberately wrong.
1	compile-profile-summary	stage2 compile-profile verifier	all	produce	bootstrap-converged	host	compile-profile+compile-profile-summary+host-defaults	default	compile-profile	current-tree	compiler-binary	none	ledger-only	independent-proof	verify-compile-profile	Different cfg and output schema.
1	compile-startup-profile	stage2 compile-startup-profile verifier	all	produce	bootstrap-converged	host	compile-startup-profile+host-defaults	1	startup-profile	current-tree	compiler-binary	none	ledger-only	independent-proof	verify-compile-startup-profile	Startup instrumentation cfg is the assertion.
1	embedded-resource-opt1	embedded stdlib TLCI bounded resource report	all	produce	bootstrap-converged	host	compile-profile+embedded-stdlib-tlci+compiler-build-identity+host-defaults	1	compile-profile	current-tree+resource-image	compiler-binary	none	ledger-only	measurement-build	verify-embedded-stdlib-tlci-resources	Opt1 resource measurement must remain separate from opt2.
1	embedded-resource-opt2	embedded stdlib TLCI bounded resource report	all	produce	bootstrap-converged	host	compile-profile+embedded-stdlib-tlci+compiler-build-identity+host-defaults	2	compile-profile	current-tree+resource-image	compiler-binary	none	ledger-only	measurement-build	verify-embedded-stdlib-tlci-resources	Opt2 resource measurement must remain separate from opt1.
1	safety-selfhost-checker	stage2 safety corpus	all	produce	bootstrap-converged	host	explicit-target-cfg	default	none	current-tree	compiler-binary	none	ledger-only	independent-proof	verify-safety-corpus	The corpus executes every witness through this freshly built checker.
1	windows-integration-driver	stage2 native integration corpus	windows	produce	bootstrap-converged	windows-x86_64	windows	default	none	current-tree	compiler-binary	none	ledger-only	independent-proof	verify-integration	Windows compile/clang/lld-link driver construction is explicitly covered.
1	stdlib-selfhost-checker	stage2 stdlib selfhost verifier	all	produce	bootstrap-converged	host	build-command-defaults	default	none	current-tree	compiler-binary	none	ledger-only	independent-proof	verify-stdlib-selfhost	Uses build-command semantics and owns the stdlib witness run; not the safety compiler key.
1	native-link-selfhost-cli	stage2 native link generated programs	linux	produce	bootstrap-converged	linux-x86_64	compiler-build-identity	default	none	current-tree	compiler-binary	native-link-selfhost-cli	ledger-only	internal-handoff-producer	verify-native-link-linux	One explicit src/main compile/link now owns both native-link sub-suites.
1	native-link-driver-consumer	stage2 native link generated programs	linux	consume	bootstrap-converged	linux-x86_64	compiler-build-identity	default	none	current-tree	compiler-binary	native-link-selfhost-cli	ledger-only	internal-handoff-consumer	verify-native-link-linux	Compiler-driver generated-program assertions use the shared binary.
1	native-link-direct-object-consumer	stage2 native link generated programs	linux	consume	bootstrap-converged	linux-x86_64	compiler-build-identity	default	none	current-tree	compiler-binary	native-link-selfhost-cli	ledger-only	internal-handoff-consumer	verify-native-link-linux	Removed the former byte-identical second compiler build.
1	instruction-count-selfcompile	Linux instruction-count baseline	linux	produce	bootstrap-converged	linux-x86_64	host-defaults	baseline-selected	none	current-tree	compiler-assembly	none	ledger-only	measurement-invocation	measure-instruction-counts	The invocation itself is the measured instruction-count assertion and cannot be replaced by a copied output.
